block_start,block_end,average_distance
1,25,0.3955017015516758
2,26,0.37996954540014266
3,27,0.3977359696030617
4,28,0.40143846842646597
5,29,0.40091849622130393
6,30,0.3833034819483757
7,31,0.38784881917238234
8,32,0.4040737764894962
9,33,0.3918384348273277
10,34,0.39269726995825766
11,35,0.3865443354129791
12,36,0.36218393258452414
13,37,0.3449878019809723
14,38,0.34924087213277816
15,39,0.352542535674572
16,40,0.3696029208600521
17,41,0.38056630502939226
18,42,0.37408984738588336
19,43,0.36094571012854576
20,44,0.3518219632267952
21,45,0.33700007768273355
22,46,0.3454186012625694
23,47,0.33574834623932837
24,48,0.46121012669801714
